Record Type,Federal School ID,County,District,School,Latitude,Longitude,Street Address,Street City,Street State,Street Zip,Name Classification,Spanish?,Person Occupation,notes
School,02296,San Mateo,Jefferson Union High,Terra Nova High,37.592477,-122.47565,1450 Terra Nova Blvd.,Pacifica,CA,94044-3615,other,y,,
School,02298,San Mateo,Jefferson Union High,Westmoor High,37.683475,-122.484736,131 Westmoor Ave.,Daly City,CA,94015-3843,place,n,,
School,02423,San Mateo,La Honda-Pescadero Unified,Pescadero High,37.24681,-122.363839,350 Butano Cut Off,Pescadero,CA,94060-0730,place,y,,
School,05919,San Mateo,San Mateo Union High,Aragon High,37.549921,-122.330383,900 Alameda de las Pulgas,San Mateo,CA,94402-3357,place,y,,
School,05920,San Mateo,San Mateo Union High,Burlingame High,37.58202,-122.3486,1 Mangini Way,Burlingame,CA,94010-2708,place,n,,
School,05921,San Mateo,San Mateo Union High,Capuchino High,37.609938,-122.406281,1501 Magnolia Ave.,San Bruno,CA,94066-5451,other,y,,
School,05923,San Mateo,San Mateo Union High,Hillsdale High,37.532228,-122.315117,3115 Del Monte St.,San Mateo,CA,94403-3800,place,n,,
School,05924,San Mateo,San Mateo Union High,Mills High,37.593162,-122.389114,400 Murchison Dr.,Millbrae,CA,94030-3024,person,n,founder,
School,05926,San Mateo,San Mateo Union High,San Mateo High,37.57719,-122.33103,506 North Delaware St.,San Mateo,CA,94401-1700,place,y,,
School,06195,San Mateo,Sequoia Union High,Menlo-Atherton High,37.459107,-122.17331,555 Middlefield Rd.,Atherton,CA,94025-3438,place,n,,
School,06198,San Mateo,Sequoia Union High,Sequoia High,37.48606,-122.23739,1201 Brewster Ave.,Redwood City,CA,94062-1378,other,n,,
School,14381,San Mateo,Sequoia Union High,Tide Academy,37.482194,-122.173934,150 Jefferson Dr.,Menlo Park,CA,94025-1115,other,n,,
School,06199,San Mateo,Sequoia Union High,Woodside High,37.442647,-122.230648,199 Churchill Ave.,Woodside,CA,94062-2306,place,n,,
School,06342,San Mateo,South San Francisco Unified,El Camino High,37.66481,-122.443543,1320 Mission Rd.,South San Francisco,CA,94080-1214,other,y,,
School,06352,San Mateo,South San Francisco Unified,South San Francisco High,37.648473,-122.427528,400 B St.,South San Francisco,CA,94080-4425,place,n,,
School,00727,Santa Barbara,Carpinteria Unified,Carpinteria Senior High,34.409446,-119.517552,4810 Foothill Rd.,Carpinteria,CA,93013-3084,place,n,,
School,08779,Santa Barbara,Cuyama Joint Unified,Cuyama Valley High,34.943362,-119.673868,4500 Highway 166,New Cuyama,CA,93254-9720,place,n,,
School,02677,Santa Barbara,Lompoc Unified,Cabrillo High,34.712596,-120.473572,4350 Constellation Rd.,Lompoc,CA,93436-1003,person,n,explorer,
School,02684,Santa Barbara,Lompoc Unified,Lompoc High,34.647066,-120.463747,515 West College Ave.,Lompoc,CA,93436-4401,place,n,,
School,06017,Santa Barbara,Santa Barbara Unified,Dos Pueblos Senior High,34.43888,-119.880437,7266 Alameda Ave.,Goleta,CA,93117-1351,place,y,,
School,06029,Santa Barbara,Santa Barbara Unified,San Marcos Senior High,34.43722,-119.786611,4750 Hollister Ave.,Santa Barbara,CA,93110-1921,place,y,,
School,06031,Santa Barbara,Santa Barbara Unified,Santa Barbara Senior High,34.429632,-119.697788,700 East Anapamu St.,Santa Barbara,CA,93103-2384,place,y,,
School,06083,Santa Barbara,Santa Maria Joint Union High,Ernest Righetti High,34.88311,-120.420883,941 East Foster Rd.,Santa Maria,CA,93455-3318,person,n,school leadership,
School,11438,Santa Barbara,Santa Maria Joint Union High,Pioneer Valley High,34.957381,-120.400313,675 Panther Dr.,Santa Maria,CA,93454-9700,place,n,,
School,06084,Santa Barbara,Santa Maria Joint Union High,Santa Maria High,34.942603,-120.435978,901 South Broadway,Santa Maria,CA,93454-6603,place,y,,
School,06136,Santa Barbara,Santa Ynez Valley Union High,Santa Ynez Valley Union High,34.608075,-120.099762,2975 Mission Dr.,Solvang,CA,93463-9417,place,y,,
School,08350,Santa Clara,Campbell Union High,Branham High,37.254576,-121.899575,1570 Branham Ln.,San Jose,CA,95118-2201,person,n,farmer,
School,00665,Santa Clara,Campbell Union High,Del Mar High,37.303262,-121.9303,1224 Del Mar Ave.,San Jose,CA,95128-3529,other,y,,
School,08122,Santa Clara,Campbell Union High,Leigh High,37.24331,-121.922589,5210 Leigh Ave.,San Jose,CA,95124-5616,person,n,farmer,
School,00673,Santa Clara,Campbell Union High,Prospect High,37.292868,-122.002389,18900 Prospect Rd.,Saratoga,CA,95070-3435,other,n,,
School,00676,Santa Clara,Campbell Union High,Westmont High,37.270126,-121.98595,4805 Westmont Ave.,Campbell,CA,95008-5725,other,n,,
School,10665,Santa Clara,East Side Union High,Evergreen Valley High,37.325201,-121.778669,3300 Quimby Rd.,San Jose,CA,95148-3122,place,n,,
School,01695,Santa Clara,Fremont Union High,Cupertino High,37.319663,-122.010411,10100 Finch Ave.,Cupertino,CA,95014-3411,place,n,,
School,01696,Santa Clara,Fremont Union High,Fremont High,37.352616,-122.035,575 West Fremont Ave.,Sunnyvale,CA,94087-2556,person,n,explorer,
School,01697,Santa Clara,Fremont Union High,Homestead High,37.3366,-122.04887,21370 Homestead Rd.,Cupertino,CA,95014-0203,other,n,,
School,01698,Santa Clara,Fremont Union High,Lynbrook High,37.300713,-122.006471,1280 Johnson Ave.,San Jose,CA,95129-4172,place,n,,
School,01699,Santa Clara,Fremont Union High,Monta Vista High,37.315469,-122.057191,21840 McClellan Rd.,Cupertino,CA,95014-4055,place,y,,
School,12264,Santa Clara,Gilroy Unified,Christopher High,37.038444,-121.600137,850 Day Rd.,Gilroy,CA,95020-9324,person,n,landowner,
School,12174,Santa Clara,Gilroy Unified,Dr. TJ Owens Gilroy Early College Academy,36.968352,-121.563359,"5055 Santa Teresa Blvd., PB17",Gilroy,CA,95020,person,n,school leadership,
School,01911,Santa Clara,Gilroy Unified,Gilroy High,36.997203,-121.575996,750 West Tenth St.,Gilroy,CA,95020-6333,place,n,,
School,03486,Santa Clara,Los Gatos-Saratoga Union High,Los Gatos High,37.221218,-121.977074,20 High School Ct.,Los Gatos,CA,95030-6917,place,y,,
School,03487,Santa Clara,Los Gatos-Saratoga Union High,Saratoga High,37.267304,-122.028715,20300 Herriman Ave.,Saratoga,CA,95070-4950,place,n,,
School,03666,Santa Clara,Milpitas Unified,Milpitas High,37.450802,-121.899819,1285 Escuela Pkwy.,Milpitas,CA,95035-3221,place,y,,
School,14571,Santa Clara,Milpitas Unified,Milpitas Middle College High,37.453595,-121.901017,1450 Escuela Pkwy.,Milpitas,CA,95035-3248,place,y,,
School,11453,Santa Clara,Morgan Hill Unified,Ann Sobrato High,37.158768,-121.667757,401 Burnett Ave.,Morgan Hill,CA,95037-2641,person,n,landowner,
School,03877,Santa Clara,Morgan Hill Unified,Live Oak High,37.146484,-121.634011,1505 East Main Ave.,Morgan Hill,CA,95037-3217,other,n,,
School,03929,Santa Clara,Mountain View-Los Altos Union High,Los Altos High,37.384992,-122.10918,201 Almond Ave.,Los Altos,CA,94022-2206,place,y,,
School,03930,Santa Clara,Mountain View-Los Altos Union High,Mountain View High,37.358192,-122.068631,3535 Truman Ave.,Mountain View,CA,94040-4559,place,n,,
School,04587,Santa Clara,Palo Alto Unified,Henry M. Gunn High,37.399966,-122.131798,780 Arastradero Rd.,Palo Alto,CA,94306-3827,person,n,school leadership,
School,04596,Santa Clara,Palo Alto Unified,Palo Alto High,37.437857,-122.157791,50 Embarcadero Rd.,Palo Alto,CA,94301-2321,place,y,,
School,14730,Santa Clara,Palo Alto Unified,Palo Alto Middle College High,37.360271,-122.124077,12345 El Monte Rd.,Los Altos Hills,CA,94022-4504,place,y,,
School,05696,Santa Clara,San Jose Unified,Abraham Lincoln High,37.329212,-121.923887,555 Dana Ave.,San Jose,CA,95126-2002,person,n,politician,
School,05716,Santa Clara,San Jose Unified,Gunderson High,37.258238,-121.852699,620 Gaundabert Ln.,San Jose,CA,95136-2830,person,n,school leadership,
School,05725,Santa Clara,San Jose Unified,Leland High,37.220338,-121.847378,6677 Camden Ave.,San Jose,CA,95120-2142,person,n,school leadership,
School,05732,Santa Clara,San Jose Unified,Pioneer High,37.247184,-121.884459,1290 Blossom Hill Rd.,San Jose,CA,95118-3126,other,n,,
School,05736,Santa Clara,San Jose Unified,San Jose High,37.350457,-121.87122,275 North 24th St.,San Jose,CA,95116-1143,place,y,,
School,05746,Santa Clara,San Jose Unified,Willow Glen High,37.291588,-121.896403,2001 Cottle Ave.,San Jose,CA,95125-3502,place,n,,
School,06055,Santa Clara,Santa Clara Unified,Adrian Wilcox High,37.366875,-121.985781,3250 Monroe St.,Santa Clara,CA,95051-1153,person,n,school leadership,
School,14618,Santa Clara,Santa Clara Unified,Kathleen MacDonald High,37.408099,-121.933561,3588 Zanker Rd.,San Jose,CA,95134,person,n,school leadership,
School,07868,Santa Clara,Santa Clara Unified,Santa Clara High,37.346501,-121.983066,3000 Benton St.,Santa Clara,CA,95051-3736,place,y,,
School,04535,Santa Cruz,Pajaro Valley Unified,Aptos High,36.976392,-121.862738,100 Mariner Way,Aptos,CA,95003-9641,place,n,,
School,11462,Santa Cruz,Pajaro Valley Unified,Pajaro Valley High,36.912123,-121.79184,500 Harkins Slough Rd.,Watsonville,CA,95076-9453,place,y,,
School,04555,Santa Cruz,Pajaro Valley Unified,Watsonville High,36.91307,-121.753014,250 East Beach St.,Watsonville,CA,95076-4831,place,n,,
School,05865,Santa Cruz,San Lorenzo Valley Unified,San Lorenzo Valley High,37.062407,-122.080115,7105 Highway 9,Felton,CA,95018-9718,place,n,,
School,06063,Santa Cruz,Santa Cruz City High,Harbor High,36.987298,-121.993465,300 La Fonda Ave.,Santa Cruz,CA,95062-1431,other,n,,
School,06068,Santa Cruz,Santa Cruz City High,Soquel High,36.992848,-121.957273,401 Old San Jose Rd.,Soquel,CA,95073-2213,place,y,,
School,08369,Santa Cruz,Scotts Valley Unified,Scotts Valley High,37.073584,-122.003954,555 Glenwood Dr.,Scotts Valley,CA,95066-3262,place,n,,
School,01533,Shasta,Fall River Joint Unified,Burney Junior-Senior High,40.875397,-121.588708,37571 Mountain View Rd.,Burney,CA,96013-4350,place,n,,
School,01536,Shasta,Fall River Joint Unified,Fall River Junior-Senior High,41.046335,-121.400723,44215 Walnut St.,McArthur,CA,96056-8555,other,n,,
School,01667,Shasta,Gateway Unified,Central Valley High,40.675694,-122.373779,4066 La Mesa Ave.,Shasta Lake,CA,96019-9243,place,n,,
School,12305,Shasta,Shasta County Office of Education,Shasta County Independent Study,40.629449,-122.398278,3711 Oasis Rd.,Redding,CA,96003-0307,place,n,,
School,06210,Shasta,Shasta Union High,Enterprise High,40.55823,-122.35295,3411 Churn Creek Rd.,Redding,CA,96002-2798,other,n,,
School,10326,Shasta,Shasta Union High,Foothill High,40.528994,-122.238665,9733 Deschutes Rd.,Palo Cedro,CA,96073-8644,place,n,,
School,06213,Shasta,Shasta Union High,Shasta High,40.586249,-122.407959,2500 Eureka Way,Redding,CA,96001-0335,other,n,,
School,06227,Sierra,Sierra-Plumas Joint Unified,Downieville Junior-Senior High,39.561245,-120.827327,130 School St.,Downieville,CA,95936,place,n,,
School,06229,Sierra,Sierra-Plumas Joint Unified,Loyalton High,39.678906,-120.245031,700 Fourth St.,Loyalton,CA,96118-0037,place,n,,
School,00590,Siskiyou,Butte Valley Unified,Butte Valley High,41.964149,-121.924384,615 West Third St.,Dorris,CA,96023-0728,place,n,,
School,01294,Siskiyou,Dunsmuir Joint Union High,Dunsmuir High,41.210735,-122.276268,5805 High School Way,Dunsmuir,CA,96025-2202,place,n,,
School,01474,Siskiyou,Scott Valley Unified,Etna Union High,41.46099,-122.89891,400 Howell Ave.,Etna,CA,96027-0721,place,n,,
School,06277,Siskiyou,Siskiyou Union High,Happy Camp High,41.79535,-123.37807,234 Indian Creek Rd.,Happy Camp,CA,96039,place,n,,
School,06278,Siskiyou,Siskiyou Union High,McCloud High,41.254194,-122.134611,133 Campus Way,McCloud,CA,95057,place,n,,
School,06279,Siskiyou,Siskiyou Union High,Mount Shasta High,41.348148,-122.313986,710 Everitt Memorial Hwy.,Mount Shasta,CA,96067-2042,place,n,,
School,06280,Siskiyou,Siskiyou Union High,Weed High,41.426903,-122.373458,909 Hillside Dr.,Weed,CA,96094-2415,place,n,,
School,07027,Siskiyou,Yreka Union High,Yreka High,41.741131,-122.637711,400 Preece Way,Yreka,CA,96097-2456,place,n,,
School,00422,Solano,Benicia Unified,Benicia High,38.062989,-122.173492,1101 Military West,Benicia,CA,94510-2428,place,n,,
School,01251,Solano,Dixon Unified,Dixon High,38.436088,-121.816723,555 College Way,Dixon,CA,95620-9301,place,n,,
School,10429,Solano,Fairfield-Suisun Unified,Angelo Rodriguez High,38.197706,-122.144612,5000 Red Top Rd.,Fairfield,CA,94534-9527,person,y,school leadership,
School,01510,Solano,Fairfield-Suisun Unified,Armijo High,38.250617,-122.039071,824 Washington St.,Fairfield,CA,94533-5541,person,y,landowner,
School,01516,Solano,Fairfield-Suisun Unified,Fairfield High,38.276688,-122.031048,205 East Atlantic Ave.,Fairfield,CA,94533-1626,place,n,,
School,06600,Solano,Travis Unified,Vanden High,38.283235,-121.969296,2951 Markeley Ln.,Fairfield,CA,94533-6513,person,n,service member,
School,06709,Solano,Vacaville Unified,Vacaville High,38.358831,-121.993166,100 Monte Vista Ave.,Vacaville,CA,95688-3829,place,y,,
School,09648,Solano,Vacaville Unified,Will C. Wood High,38.346124,-121.97474,998 Marshall Rd.,Vacaville,CA,95687-5735,person,n,school leadership,
School,07861,Solano,Vallejo City Unified,Jesse M. Bethel High,38.116993,-122.201905,1800 Ascot Pkwy.,Vallejo,CA,94591-8367,person,n,school leadership,
School,06739,Solano,Vallejo City Unified,Vallejo High,38.113666,-122.244726,840 Nebraska St.,Vallejo,CA,94590-3368,place,y,,
School,00899,Sonoma,Cloverdale Unified,Cloverdale High,38.810837,-123.021192,509 North Cloverdale Blvd.,Cloverdale,CA,95425-3324,place,n,,
School,14399,Sonoma,Cloverdale Unified,Online Academy - Sonoma County,38.811107,-123.022134,509 North Cloverdale Blvd.,Cloverdale,CA,95425-3244,place,n,,
School,01081,Sonoma,Cotati-Rohnert Park Unified,Rancho Cotate High,38.340966,-122.685374,5450 Snyder Ln.,Rohnert Park,CA,94928-2906,other,y,,
School,02140,Sonoma,Healdsburg Unified,Healdsburg High,38.621437,-122.868039,1024 Prince St.,Healdsburg,CA,95448-3449,place,n,,
School,04715,Sonoma,Petaluma Joint Union High,Casa Grande High,38.237149,-122.601734,333 Casa Grande Rd.,Petaluma,CA,94954-5706,other,y,,
School,04723,Sonoma,Petaluma Joint Union High,Petaluma High,38.227913,-122.646196,201 Fair St.,Petaluma,CA,94952-2516,place,n,,
School,04108,Sonoma,Santa Rosa High,Elsie Allen High,38.401892,-122.73463,599 Bellevue Ave.,Santa Rosa,CA,95407-7713,person,n,,
School,06679,Sonoma,Santa Rosa High,Maria Carrillo High,38.478707,-122.661329,6975 Montecito Blvd.,Santa Rosa,CA,95409-2787,person,n,activist,
School,06127,Sonoma,Santa Rosa High,Montgomery High,38.439925,-122.685358,1250 Hahman Dr.,Santa Rosa,CA,95405-6934,person,n,service member,
School,06128,Sonoma,Santa Rosa High,Piner High,38.460344,-122.76958,1700 Fulton Rd.,Santa Rosa,CA,95403-1815,person,n,landowner,
School,06132,Sonoma,Santa Rosa High,Santa Rosa High,38.453139,-122.717424,1235 Mendocino Ave.,Santa Rosa,CA,95401-4312,place,y,,
School,06304,Sonoma,Sonoma Valley Unified,Sonoma Valley High,38.282925,-122.459102,20000 Broadway,Sonoma,CA,95476-7413,place,n,,
School,00193,Sonoma,West Sonoma County Union High,Analy High,38.406988,-122.82646,6950 Analy Ave.,Sebastopol,CA,95472-3401,place,n,,
School,05470,Sonoma,Windsor Unified,Windsor High,38.542964,-122.816877,8695 Windsor Rd.,Windsor,CA,95492-9511,place,n,,
School,11489,Stanislaus,Ceres Unified,Central Valley High,37.579662,-120.956975,4033 Central Ave.,Ceres,CA,95307-7507,place,n,,
School,00785,Stanislaus,Ceres Unified,Ceres High,37.595639,-120.956833,2320 Central Ave.,Ceres,CA,95307-2502,place,n,,
School,01218,Stanislaus,Denair Unified,Denair High,37.52359,-120.803251,3431 Lester Rd.,Denair,CA,95316-9502,place,n,,
School,02212,Stanislaus,Hughson Unified,Hughson High,37.595247,-120.859528,7419 East Whitmore Ave.,Hughson,CA,95326-0099,place,n,,
School,03734,Stanislaus,Modesto City High,Fred C. Beyer High,37.688988,-120.967159,1717 Sylvan Ave.,Modesto,CA,95355-1399,person,n,school leadership,
School,03739,Stanislaus,Modesto City High,Grace M. Davis High,37.681172,-121.010036,1200 West Rumble Rd.,Modesto,CA,95350-2139,person,n,school leadership,
School,11812,Stanislaus,Modesto City High,James C. Enochs High,37.689247,-120.934874,3201 Sylvan Ave.,Modesto,CA,95355-7893,person,n,school leadership,
School,12556,Stanislaus,Modesto City High,Joseph A. Gregori High,37.719779,-121.061318,3701 Pirrone Rd.,Modesto,CA,95356-9048,person,n,school leadership,
School,03744,Stanislaus,Modesto City High,Modesto High,37.638965,-120.899874,18 H St.,Modesto,CA,95351-3203,place,y,,
School,01807,Stanislaus,Modesto City High,Peter Johansen High,37.648373,-120.917086,641 Norseman Dr.,Modesto,CA,95357-0405,person,n,politician,
School,03753,Stanislaus,Modesto City High,Thomas Downey High,37.656369,-120.972575,1000 Coffee Rd.,Modesto,CA,95355-4204,person,n,politician,
School,04100,Stanislaus,Newman-Crows Landing Unified,Orestimba High,37.321809,-121.031057,707 Hardin Rd.,Newman,CA,95360-1144,place,n,,
School,04231,Stanislaus,Oakdale Joint Unified,Oakdale High,37.761648,-120.855253,739 West G St.,Oakdale,CA,95361-3739,place,n,,
School,04703,Stanislaus,Patterson Joint Unified,Patterson High,37.471617,-121.136629,200 North Seventh St.,Patterson,CA,95363-2215,place,n,,
School,04232,Stanislaus,Riverbank Unified,Riverbank High,37.730821,-120.919801,6200 Claus Rd.,Riverbank,CA,95367-3013,place,n,,
School,11503,Stanislaus,Turlock Unified,John H. Pitman High,37.530051,-120.87708,2525 West Christoffersen Pkwy.,Turlock,CA,95382-9509,person,n,school leadership,
School,11505,Stanislaus,Turlock Unified,Turlock High,37.500082,-120.826043,1600 East Canal Dr.,Turlock,CA,95380-4221,place,n,,
School,08657,Stanislaus,Waterford Unified,Waterford High,37.636262,-120.773825,121 South Reinway,Waterford,CA,95386-9629,place,n,,
School,02615,Sutter,Live Oak Unified,Live Oak High,39.276032,-121.657431,2351 Pennington Rd.,Live Oak,CA,95953-2402,place,n,,
School,06473,Sutter,Sutter Union High,Sutter Union High,39.166952,-121.755892,2665 Acacia St.,Sutter,CA,95982,place,n,,
School,11520,Sutter,Yuba City Unified,River Valley High,39.137767,-121.662357,801 El Margarita Rd.,Yuba City,CA,95993-9363,place,n,,
School,07041,Sutter,Yuba City Unified,Yuba City High,39.130352,-121.62329,850 B St.,Yuba City,CA,95991-4926,place,n,,
School,14286,Tehama,Corning Union High,Corning Independent Study,39.921018,-122.165913,250 East Fig Ln.,Corning,CA,96021-3546,place,n,,
School,01044,Tehama,Corning Union High,Corning Union High,39.935147,-122.172514,643 Blackburn Ave.,Corning,CA,96021-2216,place,n,,
School,03497,Tehama,Los Molinos Unified,Los Molinos High,40.021194,-122.096261,7900 Sherwood Blvd.,Los Molinos,CA,96055-0609,place,y,,
School,04923,Tehama,Red Bluff Joint Union High,Red Bluff High,40.176327,-122.247122,1260 Union St.,Red Bluff,CA,96080-3121,place,n,,
School,06377,Trinity,Southern Trinity Joint Unified,Southern Trinity High,40.456037,-123.52815,600 Van Duzen Rd.,Mad River,CA,95526-9511,other,n,,
School,06605,Trinity,Trinity Alps Unified,Trinity High,40.738417,-122.949831,321 Victory Ln.,Weaverville,CA,96093-1060,other,n,,
School,00088,Tulare,Alpaugh Unified,Alpaugh -Senior High,35.8862,-119.48497,5313 Road 39,Alpaugh,CA,93201-0009,place,n,,
School,01159,Tulare,Cutler-Orosi Joint Unified,Orosi High,36.548594,-119.287007,41815 Road 128,Orosi,CA,93647-2008,place,y,,
School,01242,Tulare,Dinuba Unified,Dinuba High,36.529609,-119.401721,490 West Kamm Ave.,Dinuba,CA,93618-1825,place,n,,
School,01504,Tulare,Exeter Unified,Exeter Union High,36.29718,-119.135984,505 Rocky Hill Dr.,Exeter,CA,93221-1325,place,n,,
School,07903,Tulare,Farmersville Unified,Farmersville High,36.31052,-119.20014,631 East Walnut Ave.,Farmersville,CA,93223-2203,place,n,,
School,02595,Tulare,Lindsay Unified,Lindsay Senior High,36.210811,-119.064849,1849 East Tulare Rd.,Lindsay,CA,93247-9711,place,n,,
School,04879,Tulare,Porterville Unified,Monache High,36.08325,-119.052805,960 North Newcomb St.,Porterville,CA,93257-1302,other,n,,
School,11535,Tulare,Porterville Unified,Strathmore High,36.145595,-119.067742,22568 Avenue 196,Strathmore,CA,93267-0114,place,n,,
School,10703,Tulare,Visalia Unified,El Diamante High,36.305498,-119.346498,5100 West Whitendale Ave.,Visalia,CA,93277-5604,other,y,,
School,06792,Tulare,Visalia Unified,Golden West High,36.343211,-119.252147,1717 North McAuliff St.,Visalia,CA,93292-9310,place,n,,
School,06801,Tulare,Visalia Unified,Mt. Whitney High,36.322177,-119.301047,900 South Conyer St.,Visalia,CA,93277-2535,other,n,,
School,06803,Tulare,Visalia Unified,Redwood High,36.330099,-119.303265,1001 West Main St.,Visalia,CA,93291-5919,other,n,,
School,06996,Tulare,Woodlake Unified,Woodlake High,36.419171,-119.102828,400 West Whitney Ave.,Woodlake,CA,93286-1298,place,n,,
School,10340,Tuolumne,Big Oak Flat-Groveland Unified,Don Pedro High,37.663928,-120.314387,3090 Merced Falls Rd.,La Grange,CA,95329-1397,person,n,explorer,
School,10339,Tuolumne,Big Oak Flat-Groveland Unified,Tioga High,37.8247,-120.116811,19304 Ferretti Rd.,Groveland,CA,95321-9338,other,n,,
School,06306,Tuolumne,Sonora Union High,Sonora High,37.99251,-120.383684,430 North Washington St.,Sonora,CA,95370-5526,place,y,,
School,10338,Tuolumne,Summerville Union High,Cold Springs High,38.092277,-120.133758,25910 Long Barn Rd.,Long Barn,CA,95335-9701,other,n,,
School,10706,Tuolumne,Summerville Union High,Mountain High,38.18356,-120.007232,2 Pinecrest School Rd.,Pinecrest,CA,95364,other,n,,
School,10105,Tuolumne,Summerville Union High,South Fork High,38.087627,-120.19489,25611 Lyons Dam Rd.,Twain Harte,CA,95383-9701,other,n,,
School,06452,Tuolumne,Summerville Union High,Summerville High,37.964726,-120.24444,17555 Tuolumne Rd.,Tuolumne,CA,95379-9701,other,n,,
School,01555,Ventura,Fillmore Unified,Fillmore Senior High,34.4036,-118.91442,555 Central Ave.,Fillmore,CA,93015-1331,place,n,,
School,07784,Ventura,Moorpark Unified,Moorpark High,34.270186,-118.898715,4500 Tierra Rejada Rd.,Moorpark,CA,93021-9772,place,n,,
School,10455,Ventura,Moorpark Unified,The High School at Moorpark College,34.299866,-118.832034,7075 Campus Rd.,Moorpark,CA,93021-1605,place,n,,
School,07253,Ventura,Oak Park Unified,Oak Park High,34.181078,-118.765258,899 Kanan Rd.,Oak Park,CA,91377-3904,place,n,,
School,04379,Ventura,Ojai Unified,Nordhoff High,34.442433,-119.265939,1401 Maricopa Hwy.,Ojai,CA,93023-3132,person,n,writer,
School,04516,Ventura,Oxnard Union High,Adolfo Camarillo High,34.219435,-119.007817,4660 Mission Oaks Blvd.,Camarillo,CA,93012-5132,person,y,founder,
School,04517,Ventura,Oxnard Union High,Channel Islands High,34.171053,-119.161164,1400 Raiders Way,Oxnard,CA,93033-5699,other,n,,
School,14686,Ventura,Oxnard Union High,Del Sol High,34.206317,-119.154813,1975 Camino Del Sol,Oxnard,CA,93030,other,y,,
School,04519,Ventura,Oxnard Union High,Hueneme High,34.160943,-119.173755,500 West Bard Rd.,Oxnard,CA,93033-6306,other,n,,
School,04520,Ventura,Oxnard Union High,Oxnard High,34.21791,-119.214,3400 West Gonzales Rd.,Oxnard,CA,93036-7768,place,n,,
School,10452,Ventura,Oxnard Union High,Pacifica High,34.218898,-119.171536,600 East Gonzales Rd.,Oxnard,CA,93036-8266,place,n,,
School,13876,Ventura,Oxnard Union High,Rancho Campana High,34.244356,-119.021387,4235 Mar Vista Dr.,Camarillo,CA,93010-2317,other,y,,
School,04521,Ventura,Oxnard Union High,Rio Mesa High,34.254192,-119.147588,545 Central Ave.,Oxnard,CA,93030-1045,other,y,,
School,06264,Ventura,Simi Valley Unified,Royal High,34.264414,-118.772826,1402 Royal Ave.,Simi Valley,CA,93065-3333,other,n,,
School,06268,Ventura,Simi Valley Unified,Simi Valley High,34.278937,-118.687222,5400 Cochran St.,Simi Valley,CA,93063-3547,place,n,,
School,06748,Ventura,Ventura Unified,Buena High,34.277509,-119.217151,5670 Telegraph Rd.,Ventura,CA,93003-4204,other,y,,
School,06768,Ventura,Ventura Unified,Ventura High,34.277802,-119.268927,2 North Catalina St.,Ventura,CA,93001-3503,place,n,,
School,01176,Yolo,Davis Joint Unified,Davis Senior High,38.555887,-121.751239,315 West 14th St.,Davis,CA,95616-1914,place,n,,
School,01470,Yolo,Esparto Unified,Esparto High,38.691771,-122.016929,17121 Yolo Ave.,Esparto,CA,95627-0069,place,y,,
School,06857,Yolo,Washington Unified,River City High,38.545875,-121.540397,1 Raider Ln.,West Sacramento,CA,95691-4619,place,n,,
School,06986,Yolo,Winters Joint Unified,Winters High,38.52568,-121.968999,101 Grant Ave.,Winters,CA,95694-1617,place,n,,
School,11380,Yolo,Woodland Joint Unified,Pioneer High,38.657047,-121.742292,1400 Pioneer Ave.,Woodland,CA,95776-5152,other,n,,
School,07011,Yolo,Woodland Joint Unified,Woodland Senior High,38.683705,-121.783956,21 North West St.,Woodland,CA,95695-2611,place,n,,
School,03630,Yuba,Marysville Joint Unified,Lindhurst High,39.079263,-121.530701,4446 Olive Dr.,Olivehurst,CA,95961-4738,place,n,,
School,03633,Yuba,Marysville Joint Unified,Marysville High,39.155225,-121.585659,12 East 18th St.,Marysville,CA,95901-3751,place,n,,
School,06930,Yuba,Wheatland Union High,Wheatland Union High,38.998968,-121.454976,1010 Wheatland Rd.,Wheatland,CA,95692-9798,place,n,,
